Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of January 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
1,Installation of Lined Canal along Upper Klinan-Cannery,Polomolok,CY 2017 20% LDF,100.00%,100.00%,0.00%," 1,398,492.18 ",110,9/12/17,12/30/17,12/30/17,E SOLATORIO,DUMALAG SURVEYING & ENG'G. SERVICES,Completed
2,Const. of Day Care Center @ Brgy. Magsaysay,Polomolok,CY 2017 20% LDF,92.47%,100.00%,-7.53%," 1,192,955.89 ",60,11/1/17,1/19/18,,E SOLATORIO,JAMI CONST. & SUPPLY,On-going
3,"Const. of Basketball Court & Inst. Of Fiber Glass, Basketball Stand & Ring @ Sitio Honeyville",Polomolok,CY 2017 20% LDF,100.00%,100.00%,0.00%," 508,345.53 ",40,11/5/17,1/13/18,1/13/18,E SOLATORIO,JAMI CONST. & SUPPLY,Completed
4,"Const. of 2-Storey Barangay Hall, Brgy. Upper Klinan",Polomolok,CY 2017 20% LDF,47.76%,43.81%,3.95%," 2,988,998.84 ",105,11/14/17,2/26/18,,E SOLATORIO,"UNIFIED WORKERS CONST. & DEV'T. MPC, INC.",On-going
5,Conc. of Jct. Nhwy. Crossing Palkan-Palkan Road,Polomolok,CY 2017 20% LDF,77.28%,82.14%,-4.86%," 9,965,162.92 ",130,9/24/17,1/31/18,,A. DEMETILLO,DUMALAG SURVEYING & ENG'G. SERVICES,On-going
6,"Spring Development & inst. Of Level III Water System through Hydraulic Rampump, Prk. 4 Amguo",Polomolok,CY 2017 20% LDF,76.54%,53.02%,23.52%," 2,826,890.48 ",120,9/25/17,2/21/18,,A. DEMETILLO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going
7,"Completion of Barangay Hall, Brgy. Crossing Palkan",Polomolok,"1011-STAFF-999.26 BRGY. FACILITIES, CONST & IMPRV'T. PROG.",1.05%,0.60%,0.45%," 591,165.69 ",50,1/11/18,3/1/18,,A. DEMETILLO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going
8,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,73.76%,100.00%,-26.24%," 4,904,647.08 ",220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going
9,Const. of Box Culvert @ Prk. Malipayon,Tupi,CY 2017 CONT APPROP. #24,0.00%,,," 1,935,054.16 ",90,11/5/17,2/2/18,,A. DEMETILLO,KING BUILDERS CONST. & SUPPLY,Project suspended due to the on-going evaluation & assessment of the proposed plan to the actual site condition by the Planning & Prog'g. Div.
10,Inst. Of Lined Canal along Jct. Nhwy.-Kablon Road,Tupi,CY 2017 20% LDF,58.09%,62.82%,-4.73%," 1,272,371.40 ",90,12/19/17,3/18/18,,A DEMETILLO,"UNIFIED WORKERS CONST. & DEV'T. MPC, INC.",On-going
11,"Const. of 2-Storey Barangay Hall, Brgy. Kablon",Tupi,CY 2017 20% LDF,7.65%,0.45%,7.20%," 2,980,507.19 ",105,1/18/18,5/2/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going
12,"Const. of Facilites in Evacuation Centers (Const. of Comfort Room & Kitchen), Lunen ES",Tupi,CY 2017 CONT. APPROP.-CAL #34 ,6.60%,3.92%,2.68%," 1,545,000.00 ",75,1/18/18,4/2/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going
13,Const. of Stage @ Brgy. Tubeng,Tupi,CY 2017 20% LDF,20.69%,25.08%,-4.39%," 915,350.06 ",90,1/11/18,4/10/18,,A DEMETILLO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going
14,Inst. Of Lined Canal along Jct. Nhwy.-Cebuano Prov'l. Rd.,Tupi,9999-Non-Office 5% CF,4.14%,4.14%,0.00%," 1,487,915.68 ",70,1/18/18,3/28/18,,A DEMETILLO,KING BUILDERS CONST. & SUPPLY,On-going
15,"Const. of Day Care Center, Tupi Relocation, Brgy. Pob.",Tupi,CY 2017 20% LDF,0.00%,,," 1,192,742.58 ",60,1/4/18,3/4/18,,A DEMETILLO,HVC SAGITTARIUS COMMERCIAL & CONST.,"Request for suspension is on process, reasonfor suspension  due to delay in verification of project site."
16,Upgrading of Cacub to Palo 19 Road,Koronadal-Tampakan,CY 2016CONT. APPROP. #194-GF,58.21%,78.66%,-20.45%," 9,769,932.04 ",180,7/26/16,6/27/17,,CJ HICBAN,KING BUILDERS CONST. & SUPPLY,Suspended as of June 16 due to unpassable road condition before the beginning of project
17,Repair of SCPH Medical Records Office (Phase 1),Koronadal City,CY 2017 20% LDF,0.00%,,," 296,989.59 ",60,12/12/17,2/9/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,"PROJECT SUSPENDED DUE TO THE DELAYED TRANSFERRING OF THE MEDICAL RECORDS AND VACATE THE PROJECT SITE COMPLETELY,EFFECTIVE DECEMBER 12, 2017 UNTIL SUCH TIME THAT THE SITE ARE CLEAR"
18,"Refurbishing & Improvement of Provincial Pre-Audit Div. Office, Finance Bldg.",Koronadal City,CY 2016 CONST. APPROP. #228-GF,47.61%,30.00%,17.61%," 1,041,997.26 ",90,11/22/16,2/19/17,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,On-going
19,"Const. of Bukang Liwayway Bridge/Riverbank Protection, Prk. Artesian, Brgy. San Roque ",Koronadal City,CY 2016 20% LDF,31.93%,34.18%,-2.25%," 15,950,503.14 ",320,12/5/16,12/23/17,,E SOLATORIO,REYDAN BUILDERS,"Suspended as of September 13, 2017 due to new waterway (under negotiation)"
20,Const. of Box Culvert @ Brgy. Saravia,Koronadal City,9999-Non-Office 5% CF,22.88%,15.11%,7.77%," 2,939,820.87 ",125,11/30/17,4/3/18,,E SOLATORIO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going
21,Const. of Water System @ PEO Compound,Koronadal City,PEO 8751-SB#1,18.47%,47.36%,-28.89%," 1,916,254.64 ",100,11/5/17,2/11/18,,E SOLATORIO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; time extension is on process
22,Replacement of SCGCC Roofing @ South Cotabato Gymnasium @ Cultural Center,Koronadal City,1011-SCGCC-SB#1,14.65%,71.87%,-57.22%," 5,974,714.75 ",90,11/8/17,2/5/18,,E SOLATORIO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; time extension is on process
23,"Furniture & Fixtures Fabrication of Deck-Type Beds for Female Inmates, South Cotabato Detention & Rehab. Center",Koronadal City,1012-SCRDC-1-07-07-010-SB#1,60.31%,31.30%,29.01%," 993,495.69 ",45,1/10/18,2/23/18,,E SOLATORIO,PASE CONSTRUCTION,On-going
24,Labor for the Repair & Repainting of Provincial Accounting Office (PACCO),Koronadal City,1061-5-02-13-040,50.00%,0.00%,50.00%," 95,000.00 ",45,1/4/18,2/17/18,,E SOLATORIO,RHANEL PABILONA,On-going
25,Fabrication & Inst. Of Rice Steamer,Koronadal City,1012-SCRDC-1-07-04-990,75.26%,1.05%,74.21%," 886,672.15 ",60,1/11/18,3/11/18,,E SOLATORIO,FH GOPITEO CONST. & SUPPLY,On-going
26,Improvement of Electrical Facilities & Provision of power House @ Finance Bldg.,Koronadal City,1011-STAFF-999.32-IMPROV'T. OF BLDG. & ELECTRICAL FACILITIES,0.72%,0.13%,0.59%," 5,429,158.31 ",90,1/22/18,4/21/18,,E SOLATORIO,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
27,Const. of Perimeter Fence-Firewall @ OPAG,Koronadal City,CY 2017 20% LDF,0.00%,,," 792,000.00 ",60,1/10/18,3/10/18,,E SOLATORIO,FREDEN CONSTRUCTION,"PROJECT SUSPENDED AS OF JANUARY 10, 2018 DUE TO AIR & NOISE POLLUTION AT THE MATERNITY LYING-IN DURING DEMOLITION WORKS."
28,"Const. of Dormitory Bldg. Phase 2, Brgy. Carpenter Hill",Koronadal City,CY 2016 CONT. APPROP. #245-GF,100.00%,100.00%,," 2,990,158.72 ",138,3/15/17,1/8/18,1/8/18,CJ HICBAN,MARBEL DYNAMIC BUILDERS,Completed
29,"Const. of SCRDC Addt'l. Bldg. for Female Inmates, Brgy. GPS",Koronadal City,CY 2017 CONT. APPROP. ,87.14%,100.00%,-12.86%," 3,994,980.50 ",165,7/16/17,12/27/17,,CJ HICBAN,FREDEN CONSTRUCTION,"Letter of recommendation for termination submitted Feb. 1, 2018"
30,Inst. Of Lined Canal along San Roque-Bukang Liwayway Road,Koronadal City,CY 2017 20% LDF,73.28%,40.34%,32.94%," 826,261.82 ",75,12/3/17,2/15/18,,CJ HICBAN,FH GOPITEO CONST. & SUPPLY,On-going
31,Conc. Of Nhwy. to Brgy. Concepcion,Koronadal City,CY 2017 20% LDF,25.08%,52.69%,-27.61%," 5,919,451.68 ",75,11/28/17,2/10/18,,CJ HICBAN,BETTER WORK CONSTRUCTION,On-going; time extension is on process; No project engineer on site.
32,Conc. Of San Jose-Columbio Brgy. Road,Koronadal City,CY 2017 CONST. APPROP. #198-GF,19.52%,61.68%,-42.16%," 4,993,000.00 ",80,11/30/17,2/18/18,,CJ HICBAN,FREDEN CONSTRUCTION,On-going; time extension is on process
33,"Const. of Materials Testing Quality Control Div. Bldg., PEO Compound",Koronadal City,PEO 8751-SB#1-P/P-999.2-CMTQCDB,10.76%,10.49%,0.27%," 1,690,372.86 ",70,1/18/18,3/28/18,,Z TUMALA,MEGALINE BUILDERS & SUPPLY,On-going
34,Const. of Senior Citizen Bldg. @ New Lambunao,Tantangan,CY 2017 20% LDF,49.56%,16.16%,33.40%," 1,491,447.02 ",90,1/11/18,4/17/18,,Z TUMALA,C.A BETALAC CONST. & GEN. MDSE.,On-going
35,Concreting of Jct. Nhwy. New Ilo-ilo-Libas Road,Tantangan,CY 2017 20% LDF,31.52%,44.59%,-13.07%," 14,928,976.74 ",150,9/14/17,3/27/18,,A BARRIENTOS,FREDEN CONSTRUCTION,On-going
36,Inst. Of Lined Canal along Jct. Nhwy. Tantangan-San Felipe-Tinongcop Road,Tantangan,CY 2017 20% LDF,79.18%,79.18%,0.00%," 820,195.13 ",60,12/3/17,1/31/18,,A BARRIENTOS,FH GOPITEO CONST. & SUPPLY,On-going
37,"Establishment of Service Wash Bay, Reinforced Drainage & Fencing at Health Care Waste Treatment",Tantangan,CY 2017 20% LDF,100.00%,100.00%,," 892,818.68 ",50,11/28/17,1/16/18,1/16/18,A BARRIENTOS,FH GOPITEO CONST. & SUPPLY,Completed
38,Establishment of Residual Containment Area (RCA) & Septic Vault @ IPEMC-Health Care Waste Treatment Facility,Tantangan,CY 2017 20% LDF,100.00%,100.00%,," 992,308.91 ",55,11/28/17,1/21/18,1/21/18,A BARRIENTOS,FH GOPITEO CONST. & SUPPLY,Completed
39,"Fencing of APP Center @ PVET, Brgy. Tinongcop",Tantangan,CY 2017 20% LDF,13.57%,14.25%,-0.68%," 4,994,185.24 ",90,12/20/17,3/19/18,,A BARRIENTOS,FH GOPITEO CONST. & SUPPLY,On-going
40,Rehabilitation of Albagan Road,Tampakan,,49.37%,50.64%,-1.27%," 5,986,721.47 ",100,9/26/17,2/2/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,"Project suspended as of Jan. 15, 2017, due to unpassable road before project site."
41,Const. of Albagan Gym with Stage,Tampakan,CY 2017 20% LDF,17.29%,15.93%,1.36%," 4,033,389.66 ",140,11/28/17,4/16/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,On-going
42,"Const. of Salway Box Culvert, Brgy. Tablu",Tampakan,9999-Non-Office 5% CF,3.23%,6.86%,-3.63%," 2,987,473.44 ",90,12/26/17,3/25/18,,A BARRIENTOS,MFN BUILDERS,On-going
43,"Const. of Day Care Center, Brgy. Poblacion",Tampakan,CY 2017 20% LDF,18.80%,23.69%,-4.89%," 1,190,000.00 ",60,12/19/17,2/16/18,,A BARRIENTOS,"ISULAN ECT CONST. & GEN. MDSE., INC.",On-going
44,"Improvement of Facilities @ Provincial Scion Grove, Nursery & Demo Farm: Const. of 800m Perimeter",Banga,CY 2017 20% LDF,85.22%,100.00%,-14.78%," 4,935,544.56 ",150,8/29/17,1/25/18,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going
45,"Establishment of Greenhouse for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.2,77.05%,100.00%,-22.95%," 264,308.97 ",40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going
46,"Establishment of Nursery for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.1,75.58%,100.00%,-24.42%," 288,485.65 ",40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going
47,Inst. Of Lined Canal along Rang-ay-Lamba Road,Banga,CY 2017 20% LDF,0.00%,0.76%,-0.76%," 1,515,778.02 ",70,9/24/17,12/2/17,,MJ Dauz,DAVAO SANTHONY BUILDERS CORP.,"Suspended as of October 3, 2017 due to the removal of trees along the proposed canal and rechanelling of waterway which will be undertaken by Administration"
48,"Renovation-Repair of Training Center @ Provincial Scion Grove, Nursery & Demo Farm",Banga,CY 2017 20% LDF,19.41%,48.93%,-29.52%," 1,761,935.91 ",100,11/5/17,2/12/18,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going
49,"Inst. Of Lined Canal along Banga-Lamba Road, Brgy. Benitez",Banga,CY 2017 20% LDF,96.41%,96.41%,0.00%," 293,938.16 ",50,12/14/17,2/1/18,,MJ Dauz,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
50,Additional Installation of Slope Protection along Liwanay-Kusan Road,Banga,CY 2017 20% LDF,51.83%,76.48%,-24.65%," 474,124.16 ",45,12/14/17,1/27/18,,MJ Dauz,ROCKSTONE CONST. SERVICES & SUPPLY,On-going; time extension is on process
51,Repair of Lined Canal & Inst. Of Drop Structure @ Sitio Lambukay,Banga,CY 2017 20% LDF,0.00%,11.20%,-11.20%," 2,205,000.00 ",120,1/2/18,5/1/18,,MJ Dauz,FREDEN CONSTRUCTION,Project suspended due to quarry negotiations
52,Concreting of Lambingi-Lampari Road,Banga,CY 2017 20% LDF,0.13%,0.67%,-0.54%," 11,988,000.00 ",140,1/18/18,6/6/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going
53,Construction of Matlong Bridge,Banga,CY 2016 20% LDF,100.00%,100.00%,," 19,890,401.70 ",460,8/11/16,12/10/17,1/24/18,A SOBREVEGA,REYDAN BUILDERS,Completed
54,Conc. Of Jct. Nhwy. Teresita-Cabudian Bdry.,Banga,CY 2017 20% LDF,100.00%,100.00%,," 9,966,000.00 ",125,9/17/17,1/19/18,1/16/18,ME Dondiego,FREDEN CONSTRUCTION,Completed
55,Const. of Riverbank Protection (Indigenous Materials) & Rechanelling of Waterway @ Brgy. San Miguel,Norala,SEF-212-11.1a,0.53%,3.75%,-3.22%," 2,692,684.72 ",60,11/1/16,12/30/16,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of November 23, 2016 due to water way problem & approval of revised plan"
56,Conc. Of Poblacion-Simsiman-Matapol Road,Norala,CY 2015 20% LDF,59.93%,78.07%,-18.14%," 11,438,082.05 ",230,7/30/17,3/16/18,,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,On-going; still no contractor's project engineer on site to supervise this project
57,Const. of Multi-Purpose Building @ Brgy. San Miguel,Norala,CY 2017 20% LDF,100.00%,100.00%,0.00%," 1,682,391.72 ",90,11/1/17,2/13/18,1/12/18,A SOBREVEGA,C.A BETALAC CONST. & GEN. MDSE.,Completed
58,Conc. Of Jct. Lopez Jaena-Puti Road,Norala,CY 2017 20% LDF,33.81%,21.38%,12.43%," 14,992,780.22 ",125,11/8/17,3/12/18,,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,On-going
59,"Completion of Senior Citizen Bldg., Brgy. Kibid",Norala,CY 2017 20% LDF,0.00%,26.07%,-26.07%," 134,826.72 ",18,1/22/18,2/8/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,No actual accomplishment
60,Rehabilitation of NDH Water System,Norala,CY 2017 20% LDF,1.48%,78.16%,-76.68%," 375,786.23 ",40,12/21/17,1/29/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
61,Renovation of Lapuz Brgy. Hall,Norala,CY 2017 20% LDF,38.95%,59.11%,-20.16%," 1,319,000.00 ",60,12/19/17,2/16/18,,A SOBREVEGA,"ISULAN ECT CONST. & GEN. MDSE., INC.",On-going
62,Const. of Potable Water System Level III @ Brgy. Guinsang-an,Sto. Niño,CY 2016 20% LDF,100.00%,100.00%,," 3,417,516.22 ",140,4/5/17,8/22/17,12/29/17,ME Dondiego,ROCKSTONE CONST. SERVICES & SUPPLY,Completed
63,"Const. of 2-Storey Barangay Hall, Brgy. Poblacion",Sto. Niño,CY 2017 20% LDF,55.72%,35.89%,19.83%," 2,990,000.00 ",105,11/14/17,2/26/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going
64,Const. of Guardrail along Jct. Nhwy.-Guinsang-an Provincial Road (Sitio Sta. Cruz),Sto. Niño,CY 2017 20% LDF,39.36%,44.71%,-5.35%," 1,370,930.04 ",60,12/20/17,2/17/18,,ME Dondiego,FH GOPITEO CONST. & SUPPLY,On-going
65,"Const. of Stage & Bleacher, Brgy. Plaza, Sajaneba",Sto. Niño,CY 2017 20% LDF,1.51%,3.71%,-2.20%," 1,994,000.00 ",120,1/18/18,5/17/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going
66,"Completion of Liga Hall, Municipal hall Cmpd., Pob.",Sto. Niño,CY 2017 20% LDF,25.49%,5.21%,20.28%," 991,000.00 ",75,1/10/18,3/25/18,,K SERVAÑEZ,FREDEN CONSTRUCTION,On-going
67,Construction of Naci Bridge,Surallah,CY 2015 20% LDF,95.75%,100.00%,-4.25%," 24,830,790.34 ",345,1/21/16,12/30/16,,MJ Dauz,CS CONSTRUCTION & SUPPLY (formerly: CS CONSTRUCTION/COFEJOK CONST. & SUPPLY CORP.-JOINT VENTURE,On-going; the contractor has committed to finish the project despite the liquidated damages incurred
68,Const. of Municipality of Lake Sebu Landmark @ Brgy. Dajay (Lake Sebu-Surallah Junction Road),Surallah,CY 2016 20% LDF,82.48%,100.00%,-17.52%," 1,170,942.72 ",180,3/13/17,10/20/17,,ME Dondiego,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going
69,Conc. Of Modon-Upper Sepaka Road,Surallah,CY 2017 20% LDF,26.04%,63.95%,-37.91%," 9,970,794.40 ",110,11/8/17,2/25/18,,ME Dondiego,MFN BUILDERS,On-going
70,"Const. of 2-Storey Barangay Hall, Brgy. Little Baguio",Surallah,CY 2017 20% LDF,0.60%,0.57%,0.03%," 2,989,004.51 ",105,1/18/18,5/2/18,,ME Dondiego,NIRVANA CONST. & SUPPLIES,On-going
71,Concreting of Tubi-ala Lambontong Road part. Approaching to Malomboy Bridge,Surallah,CY 2017 20% LDF,0.14%,2.85%,-2.71%," 8,494,519.47 ",125,1/2/18,5/6/18,,ME Dondiego,HEXAMINDS CORPORATION,On-going
72,Consreting of Halilan Road,Lake Sebu,CY 2017 20% LDF,0.26%,1.80%,-1.54%," 9,980,267.35 ",125,1/18/18,5/22/18,,ME Dondiego,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
73,Construction of Stage. Brgy. Bacdulong,Lake Sebu,CY 2016 PDRMMF-IP,7.56%,3.43%,4.13%," 911,110.26 ",90,1/11/18,4/10/18,,ME Dondiego,KING BUILDERS CONST. & SUPPLY,On-going
74,"Completion Brgy. Hall, Brgy. Seloton",Lake Sebu,CY 2016 PDRMMF-IP,17.23%,20.33%,-3.10%," 593,841.73 ",50,1/11/18,3/1/18,,ME Dondiego,KGD BUILDERS,On-going
75,"Conc. Of Poblacion, T'boli-New Dumangas Road (Phase II)",T'boli,CY 2016 20% LDF,96.01%,94.15%,1.86%," 9,937,973.74 ",220,4/5/17,2/9/18,,MJ Dauz,PASE CONSTRUCTION,On-going
76,Conc. Of New Dumangas Road (Leading to Ressetlement Area),T'boli,CY 2017 20% LDF,22.64%,92.87%,-70.23%," 4,992,486.84 ",85,11/9/17,2/1/18,,MJ Dauz,ROCKSTONE CONST. SERVICES & SUPPLY,On-going; 40 CD time extension is on process
77,Const. of 2 Units CL School Bldg. w/ Two Seater Attached Toilet (Traan Leteng-T'boli ES Extension),T'boli,SEF-Const. of School Bldg. & Other Facilites,76.45%,61.54%,14.91%," 4,115,802.23 ",90,11/14/17,2/11/18,,MJ Dauz,FH GOPITEO CONST. & SUPPLY,On-going
78,"Const. of Bridge @ New Dumangas, T'boli-Sitio Roxas",T'boli,CY 2016 CONT. APPROP.,49.09%,53.48%,-4.39%," 24,961,302.94 ",265,6/25/17,3/16/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going
79,Conc. Of Road Leading to Bakngeb underground River,T'boli,CY 2017 20% LDF,1.02%,15.40%,-14.38%," 4,995,579.03 ",80,12/25/17,3/14/18,,MJ Dauz,JAMI CONST. & SUPPLY,On-going
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Prepared by:,,,,,,Submitted by:,,,,Recommending Approval:,,,Approved:,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ELSA T. SOMBREA,,JOSEPHINE V. JANUTO,,,,"CASIMERO D. PADILLA, JR.",,,,GENEROSA P. CAPUNDAN,,,"VICENTE P. AYONGAO, MPA",
Engineer III-Chief Upper Valley Section,,"Engineer II-OIC Chief, Lower Valley Section",,,,Engineer III-OIC,,,,Assistant Provincial Engineer,,,"Engineer IV-OIC, Provincial Engineer",
,,,,,,Chief Const. & Maint. Division,,,,,,,,
